Age,Education,Edu_num,Occupation,Race,Gender,Hours_per_week,Country,Income
50, Bachelors,13, Exec-managerial, White, Male,13, United-States, <=50K
38, HS-grad,9, Handlers-cleaners, White, Male,40, United-States, <=50K
53, 11th,7, Handlers-cleaners, Black, Male,40, United-States, <=50K
28, Bachelors,13, Prof-specialty, Black, Female,40, Cuba, <=50K
37, Masters,14, Exec-managerial, White, Female,40, United-States, <=50K
49, 9th,5, Other-service, Black, Female,16, Jamaica, <=50K
52, HS-grad,9, Exec-managerial, White, Male,45, United-States, >50K
31, Masters,14, Prof-specialty, White, Female,50, United-States, >50K
42, Bachelors,13, Exec-managerial, White, Male,40, United-States, >50K
37, Some-college,10, Exec-managerial, Black, Male,80, United-States, >50K
30, Bachelors,13, Prof-specialty, Asian-Pac-Islander, Male,40, India, >50K
23, Bachelors,13, Adm-clerical, White, Female,30, United-States, <=50K
32, Assoc-acdm,12, Sales, Black, Male,50, United-States, <=50K
40, Assoc-voc,11, Craft-repair, Asian-Pac-Islander, Male,40, ?, >50K
34, 7th-8th,4, Transport-moving, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, HS-grad,9, Farming-fishing, White, Male,35, United-States, <=50K
32, HS-grad,9, Machine-op-inspct, White, Male,40, United-States, <=50K
38, 11th,7, Sales, White, Male,50, United-States, <=50K
43, Masters,14, Exec-managerial, White, Female,45, United-States, >50K
40, Doctorate,16, Prof-specialty, White, Male,60, United-States, >50K
54, HS-grad,9, Other-service, Black, Female,20, United-States, <=50K
35, 9th,5, Farming-fishing, Black, Male,40, United-States, <=50K
43, 11th,7, Transport-moving, White, Male,40, United-States, <=50K
59, HS-grad,9, Tech-support, White, Female,40, United-States, <=50K
56, Bachelors,13, Tech-support, White, Male,40, United-States, >50K
19, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
54, Some-college,10, ?, Asian-Pac-Islander, Male,60, South, >50K
39, HS-grad,9, Exec-managerial, White, Male,80, United-States, <=50K
49, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
23, Assoc-acdm,12, Protective-serv, White, Male,52, United-States, <=50K
20, Some-college,10, Sales, Black, Male,44, United-States, <=50K
45, Bachelors,13, Exec-managerial, White, Male,40, United-States, <=50K
30, Some-college,10, Adm-clerical, White, Male,40, United-States, <=50K
22, Some-college,10, Other-service, Black, Male,15, United-States, <=50K
48, 11th,7, Machine-op-inspct, White, Male,40, Puerto-Rico, <=50K
21, Some-college,10, Machine-op-inspct, White, Male,40, United-States, <=50K
19, HS-grad,9, Adm-clerical, White, Female,25, United-States, <=50K
31, Some-college,10, Sales, White, Male,38, ?, >50K
48, Assoc-acdm,12, Prof-specialty, White, Male,40, United-States, <=50K
31, 9th,5, Machine-op-inspct, White, Male,43, United-States, <=50K
53, Bachelors,13, Prof-specialty, White, Male,40, United-States, <=50K
24, Bachelors,13, Tech-support, White, Male,50, United-States, <=50K
49, HS-grad,9, Adm-clerical, White, Female,40, United-States, <=50K
25, HS-grad,9, Handlers-cleaners, White, Male,35, United-States, <=50K
57, Bachelors,13, Prof-specialty, Black, Male,40, United-States, >50K
53, HS-grad,9, Machine-op-inspct, White, Male,38, United-States, <=50K
44, Masters,14, Exec-managerial, White, Female,40, United-States, <=50K
41, Assoc-voc,11, Craft-repair, White, Male,40, United-States, <=50K
29, Assoc-voc,11, Prof-specialty, White, Male,43, United-States, <=50K
25, Some-college,10, Exec-managerial, Other, Female,40, United-States, <=50K
18, HS-grad,9, Other-service, White, Female,30, ?, <=50K
47, Prof-school,15, Prof-specialty, White, Female,60, Honduras, >50K
50, Bachelors,13, Exec-managerial, White, Male,55, United-States, >50K
47, HS-grad,9, Exec-managerial, White, Male,60, United-States, <=50K
43, Some-college,10, Tech-support, White, Male,40, United-States, >50K
46, 5th-6th,3, Machine-op-inspct, White, Male,40, Mexico, <=50K
35, Assoc-voc,11, Other-service, White, Male,40, Puerto-Rico, <=50K
41, HS-grad,9, Adm-clerical, White, Male,48, United-States, <=50K
30, HS-grad,9, Machine-op-inspct, White, Male,40, United-States, <=50K
30, Bachelors,13, Sales, White, Male,40, United-States, <=50K
32, 7th-8th,4, ?, White, Male,40, ?, <=50K
48, HS-grad,9, Transport-moving, White, Male,40, United-States, <=50K
42, Doctorate,16, Prof-specialty, White, Male,45, United-States, >50K
29, Some-college,10, Tech-support, White, Male,58, United-States, <=50K
36, HS-grad,9, Craft-repair, White, Male,40, United-States, <=50K
28, Some-college,10, Adm-clerical, White, Female,40, United-States, <=50K
53, HS-grad,9, Adm-clerical, White, Female,40, United-States, >50K
49, Some-college,10, Exec-managerial, White, Male,50, United-States, >50K
25, Some-college,10, ?, White, Male,40, United-States, <=50K
19, Some-college,10, Prof-specialty, White, Male,32, United-States, <=50K
31, Bachelors,13, Sales, Black, Female,40, United-States, <=50K
29, Bachelors,13, Sales, White, Male,70, United-States, >50K
23, Some-college,10, Machine-op-inspct, White, Male,40, United-States, <=50K
79, Some-college,10, Prof-specialty, White, Male,20, United-States, <=50K
27, HS-grad,9, Other-service, White, Male,40, Mexico, <=50K
40, Assoc-acdm,12, Adm-clerical, White, Male,40, United-States, <=50K
67, 10th,6, ?, White, Male,2, United-States, <=50K
18, 11th,7, Other-service, White, Female,22, United-States, <=50K
31, 7th-8th,4, Farming-fishing, White, Male,40, United-States, <=50K
18, HS-grad,9, Sales, White, Male,30, United-States, <=50K
52, Bachelors,13, Other-service, White, Male,40, Cuba, <=50K
46, HS-grad,9, Other-service, White, Female,40, United-States, <=50K
59, HS-grad,9, Sales, White, Male,48, United-States, <=50K
44, HS-grad,9, Craft-repair, White, Female,40, United-States, >50K
53, HS-grad,9, Sales, White, Female,35, United-States, <=50K
49, HS-grad,9, Protective-serv, White, Male,40, United-States, >50K
33, Masters,14, Prof-specialty, White, Male,50, United-States, <=50K
30, 9th,5, Sales, White, Male,40, United-States, <=50K
43, Doctorate,16, Prof-specialty, White, Female,50, United-States, >50K
57, Assoc-voc,11, Prof-specialty, White, Male,40, United-States, <=50K
